"Date"," AQI Value","Main Pollutant","Site Name","Site ID","Source"
"12/27/2009","58","PM2.5","Gwinnett","13-135-0002","AQS"
"12/28/2009","41","PM2.5","United Avenue","13-121-0055","AQS"
"12/29/2009","56","PM2.5","E. Rivers School","13-121-0032","AQS"
"12/30/2009","65","PM2.5","Forest Park","13-063-0091","AQS"
"12/31/2009","77","PM2.5","E. Rivers School","13-121-0032","AQS"
"01/01/2010","47","PM2.5","United Avenue","13-121-0055","AQS"
"01/02/2010","39","PM2.5","South DeKalb","13-089-0002","AQS"
"01/03/2010","45","PM2.5","Doraville","13-089-2001","AQS"
"01/04/2010","49","PM2.5","United Avenue","13-121-0055","AQS"
"01/05/2010","55","PM2.5","Forest Park","13-063-0091","AQS"
"01/06/2010","57","PM2.5","E. Rivers School","13-121-0032","AQS"
"01/07/2010","57","PM2.5","Kennesaw","13-067-0003","AQS"
"01/08/2010","60","PM2.5","South DeKalb","13-089-0002","AQS"
"01/09/2010","56","PM2.5","Kennesaw","13-067-0003","AQS"
"01/10/2010","61","PM2.5","Doraville","13-089-2001","AQS"
"01/11/2010","59","PM2.5","South DeKalb","13-089-0002","AQS"
"01/12/2010","55","PM2.5","South DeKalb","13-089-0002","AQS"
"01/13/2010","80","PM2.5","Doraville","13-089-2001","AQS"
"01/14/2010","111","PM2.5","Fire Station #8","13-121-0039","AQS"
"01/15/2010","97","PM2.5","Doraville","13-089-2001","AQS"
"01/16/2010","77","PM2.5","E. Rivers School","13-121-0032","AQS"
"01/17/2010","32","Ozone","Georgia Station","13-231-9991","AQS"
"01/18/2010","53","PM2.5","South DeKalb","13-089-0002","AQS"
"01/19/2010","62","PM2.5","South DeKalb","13-089-0002","AQS"
"01/20/2010","61","PM2.5","South DeKalb","13-089-0002","AQS"
"01/21/2010","35","Ozone","Georgia Station","13-231-9991","AQS"
"01/22/2010","58","PM2.5","United Avenue","13-121-0055","AQS"
"01/23/2010","52","PM2.5","Gwinnett","13-135-0002","AQS"
"01/24/2010","38","PM2.5","South DeKalb","13-089-0002","AQS"
"01/25/2010","36","PM2.5","South DeKalb","13-089-0002","AQS"
"01/26/2010","57","PM2.5","South DeKalb","13-089-0002","AQS"
"01/27/2010","52","PM2.5","South DeKalb","13-089-0002","AQS"
"01/28/2010","60","PM2.5","South DeKalb","13-089-0002","AQS"
"01/29/2010","53","PM2.5","South DeKalb","13-089-0002","AQS"
"01/30/2010","41","PM2.5","Doraville","13-089-2001","AQS"
"01/31/2010","61","PM2.5","South DeKalb","13-089-0002","AQS"
"02/01/2010","66","PM2.5","Fire Station #8","13-121-0039","AQS"
"02/02/2010","57","PM2.5","Kennesaw","13-067-0003","AQS"
"02/03/2010","60","PM2.5","South DeKalb","13-089-0002","AQS"
"02/04/2010","70","PM2.5","Doraville","13-089-2001","AQS"
"02/05/2010","28","PM2.5","Doraville","13-089-2001","AQS"
"02/06/2010","47","PM2.5","United Avenue","13-121-0055","AQS"
"02/07/2010","63","PM2.5","E. Rivers School","13-121-0032","AQS"
"02/08/2010","63","PM2.5","South DeKalb","13-089-0002","AQS"
"02/09/2010","55","PM2.5","United Avenue","13-121-0055","AQS"
"02/10/2010","52","PM2.5","United Avenue","13-121-0055","AQS"
"02/11/2010","44","PM2.5","United Avenue","13-121-0055","AQS"
"02/12/2010","53","PM2.5","Doraville","13-089-2001","AQS"
"02/13/2010","59","PM2.5","United Avenue","13-121-0055","AQS"
"02/14/2010","63","PM2.5","Doraville","13-089-2001","AQS"
"02/15/2010","45","PM2.5","United Avenue","13-121-0055","AQS"
"02/16/2010","41","PM2.5","United Avenue","13-121-0055","AQS"
"02/17/2010","42","PM2.5","United Avenue","13-121-0055","AQS"
"02/18/2010","44","PM2.5","United Avenue","13-121-0055","AQS"
"02/19/2010","54","PM2.5","South DeKalb","13-089-0002","AQS"
"02/20/2010","60","PM2.5","South DeKalb","13-089-0002","AQS"
"02/21/2010","71","PM2.5","United Avenue","13-121-0055","AQS"
"02/22/2010","66","PM2.5","South DeKalb","13-089-0002","AQS"
"02/23/2010","56","PM2.5","South DeKalb","13-089-0002","AQS"
"02/24/2010","63","PM2.5","South DeKalb","13-089-0002","AQS"
"02/25/2010","55","PM2.5","South DeKalb","13-089-0002","AQS"
"02/26/2010","53","PM2.5","South DeKalb","13-089-0002","AQS"
"02/27/2010","52","PM2.5","South DeKalb","13-089-0002","AQS"
"02/28/2010","53","PM2.5","South DeKalb","13-089-0002","AQS"
"03/01/2010","55","PM2.5","South DeKalb","13-089-0002","AQS"
"03/02/2010","53","PM2.5","South DeKalb","13-089-0002","AQS"
"03/03/2010","55","PM2.5","South DeKalb","13-089-0002","AQS"
"03/04/2010","56","PM2.5","South DeKalb","13-089-0002","AQS"
"03/05/2010","53","PM2.5","South DeKalb","13-089-0002","AQS"
"03/06/2010","55","PM2.5","South DeKalb","13-089-0002","AQS"
"03/07/2010","62","PM2.5","South DeKalb","13-089-0002","AQS"
"03/08/2010","80","Ozone","Dawsonville","13-085-0001","AQS"
"03/09/2010","83","PM2.5","South DeKalb","13-089-0002","AQS"
"03/10/2010","60","PM2.5","E. Rivers School","13-121-0032","AQS"
"03/11/2010","53","PM2.5","Kennesaw","13-067-0003","AQS"
"03/12/2010","69","PM2.5","Fire Station #8","13-121-0039","AQS"
"03/13/2010","43","PM2.5","South DeKalb","13-089-0002","AQS"
"03/14/2010","38","PM2.5","South DeKalb","13-089-0002","AQS"
"03/15/2010","44","PM2.5","South DeKalb","13-089-0002","AQS"
"03/16/2010","54","PM2.5","South DeKalb","13-089-0002","AQS"
"03/17/2010","57","PM2.5","South DeKalb","13-089-0002","AQS"
"03/18/2010","59","PM2.5","South DeKalb","13-089-0002","AQS"
"03/19/2010","74","Ozone","Georgia Station","13-231-9991","AQS"
"03/20/2010","84","Ozone","Dawsonville","13-085-0001","AQS"
"03/21/2010","63","PM2.5","South DeKalb","13-089-0002","AQS"
"03/22/2010","33","PM2.5","South DeKalb","13-089-0002","AQS"
"03/23/2010","56","PM2.5","South DeKalb","13-089-0002","AQS"
"03/24/2010","74","Ozone","Dawsonville","13-085-0001","AQS"
"03/25/2010","77","PM2.5","South DeKalb","13-089-0002","AQS"
"03/26/2010","46","PM2.5","South DeKalb","13-089-0002","AQS"
"03/27/2010","55","PM2.5","South DeKalb","13-089-0002","AQS"
"03/28/2010","52","PM2.5","South DeKalb","13-089-0002","AQS"
"03/29/2010","48","PM2.5","South DeKalb","13-089-0002","AQS"
"03/30/2010","57","PM2.5","South DeKalb","13-089-0002","AQS"
"03/31/2010","67","PM2.5","South DeKalb","13-089-0002","AQS"
"04/01/2010","105","Ozone","Dawsonville","13-085-0001","AQS"
"04/02/2010","151","Ozone","Dawsonville","13-085-0001","AQS"
"04/03/2010","75","PM2.5","South DeKalb","13-089-0002","AQS"
"04/04/2010","74","PM2.5","South DeKalb","13-089-0002","AQS"
"04/05/2010","74","PM2.5","South DeKalb","13-089-0002","AQS"
"04/06/2010","90","Ozone","Dawsonville","13-085-0001","AQS"
"04/07/2010","74","Ozone","Dawsonville","13-085-0001","AQS"
"04/08/2010","55","PM2.5","South DeKalb","13-089-0002","AQS"
"04/09/2010","54","Ozone","Georgia Station","13-231-9991","AQS"
"04/10/2010","71","Ozone","Dawsonville","13-085-0001","AQS"
"04/11/2010","105","Ozone","Douglasville","13-097-0004","AQS"
"04/12/2010","101","Ozone","Dawsonville","13-085-0001","AQS"
"04/13/2010","180","PM2.5","South DeKalb","13-089-0002","AQS"
"04/14/2010","108","Ozone","Dawsonville","13-085-0001","AQS"
"04/15/2010","93","Ozone","Georgia Station","13-231-9991","AQS"
"04/16/2010","100","Ozone","United Avenue","13-121-0055","AQS"
"04/17/2010","87","Ozone","Georgia Station","13-231-9991","AQS"
"04/18/2010","90","Ozone","Georgia Station","13-231-9991","AQS"
"04/19/2010","74","Ozone","Dawsonville","13-085-0001","AQS"
"04/20/2010","67","PM2.5","MACLAND AQUATIC CENTER","13-067-0004","AQS"
"04/21/2010","74","Ozone","Georgia Station","13-231-9991","AQS"
"04/22/2010","97","Ozone","Gwinnett","13-135-0002","AQS"
"04/23/2010","101","Ozone","Dawsonville","13-085-0001","AQS"
"04/24/2010","68","PM2.5","Gwinnett","13-135-0002","AQS"
"04/25/2010","58","PM2.5","South DeKalb","13-089-0002","AQS"
"04/26/2010","49","PM2.5","South DeKalb","13-089-0002","AQS"
"04/27/2010","55","PM2.5","Doraville","13-089-2001","AQS"
"04/28/2010","79","PM2.5","Doraville","13-089-2001","AQS"
